dataset,method,seed,config_id,final_avg_acc,last_task_acc,bwt,aia,diagonal_json,m0_final_avg_acc,m0_last_task_acc,pass,used_cfg_json,replay_weight
imagenet_r,m1_glfc,0,tuned,0.5953297383997452,0.38831615120274915,0.11221992575457224,0.614490709497335,"[0.7344827586206897, 0.6169491525423729, 0.4859154929577465, 0.4440677966101695, 0.39215686274509803, 0.5786163522012578, 0.5238095238095238, 0.41935483870967744, 0.35964912280701755, 0.38831615120274915]",0.24800126100925612,0.6865214836991074,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
imagenet_r,m1_glfc,1,tuned,0.598138413262814,0.36721311475409835,0.12478042364069328,0.6212456131045829,"[0.7370242214532872, 0.5922865013774105, 0.49056603773584906, 0.4924924924924925, 0.4194915254237288, 0.47368421052631576, 0.391304347826087, 0.4621212121212121, 0.43217665615141954, 0.36721311475409835]",0.24800126100925612,0.6865214836991074,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
imagenet_r,m1_glfc,2,tuned,0.5998062607598038,0.3892857142857143,0.11267079914607317,0.621269980833637,"[0.7335640138408305, 0.5882352941176471, 0.5481727574750831, 0.503448275862069, 0.3611111111111111, 0.5310344827586206, 0.48773006134969327, 0.4660493827160494, 0.3753943217665615, 0.3892857142857143]",0.24800126100925612,0.6865214836991074,False,"{""distillation_weight"": 1.0, ""exemplar_budget"": 10, ""local_epochs"": 30, ""lr"": 0.5, ""replay_weight"": 2.0, ""temperature"": 2.0}",2.0
imagenet_r,m2_target,0,tuned,0.6166971102337542,0.4570446735395189,0.09926578637555157,0.6432580477491341,"[0.7275862068965517, 0.5932203389830508, 0.5422535211267606, 0.5084745762711864, 0.4150326797385621, 0.6069182389937107, 0.564625850340136, 0.46953405017921146, 0.3888888888888889, 0.4570446735395189]",0.24800126100925612,0.6865214836991074,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 0.5}",0.5
imagenet_r,m2_target,1,tuned,0.6118668941334604,0.40327868852459015,0.09843578668515401,0.6486018910668906,"[0.7370242214532872, 0.6308539944903582, 0.5547169811320755, 0.4744744744744745, 0.5169491525423728, 0.4551083591331269, 0.4682274247491639, 0.5, 0.4921135646687697, 0.40327868852459015]",0.24800126100925612,0.6865214836991074,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 0.5}",0.5
imagenet_r,m2_target,2,tuned,0.6193402508808274,0.4714285714285714,0.09528223830874481,0.6520873224591204,"[0.7439446366782007, 0.5882352941176471, 0.5780730897009967, 0.5448275862068965, 0.4375, 0.5310344827586206, 0.5337423312883436, 0.49382716049382713, 0.41324921135646686, 0.4714285714285714]",0.24800126100925612,0.6865214836991074,False,"{""local_epochs"": 30, ""lr"": 0.1, ""n_synthetic_per_class"": 20, ""replay_ratio"": 1.0, ""replay_weight"": 0.5}",0.5
imagenet_r,m3_fot,0,default,0.45043835297270396,0.6907216494845361,-0.2699084911776451,0.510958654741585,"[0.7344827586206897, 0.6237288135593221, 0.6408450704225352, 0.7830508474576271, 0.6503267973856209, 0.7169811320754716, 0.7482993197278912, 0.6989247311827957, 0.6461988304093568, 0.6907216494845361]",0.24800126100925612,0.6865214836991074,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
imagenet_r,m3_fot,1,default,0.44551167581516904,0.6557377049180327,-0.2815750760462227,0.5328765132804492,"[0.7370242214532872, 0.6418732782369146, 0.6867924528301886, 0.6756756756756757, 0.6991525423728814, 0.7058823529411765, 0.7324414715719063, 0.7196969696969697, 0.7350157728706624, 0.6557377049180327]",0.24800126100925612,0.6865214836991074,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
imagenet_r,m3_fot,2,default,0.4608200585142891,0.625,-0.2568662419609187,0.5376341914671213,"[0.7335640138408305, 0.6366782006920415, 0.717607973421927, 0.696551724137931, 0.7222222222222222, 0.7206896551724138, 0.754601226993865, 0.6790123456790124, 0.6340694006309149, 0.625]",0.24800126100925612,0.6865214836991074,True,"{""local_epochs"": 30, ""lr"": 0.5, ""projection_strength"": 1.0, ""subspace_rank"": 8}",1.0
imagenet_r,m5_hybrid_replay,0,tuned,0.6358753247278404,0.5051546391752577,0.06507175915621431,0.6534694641777594,"[0.7275862068965517, 0.6067796610169491, 0.5985915492957746, 0.6101694915254238, 0.4934640522875817, 0.6666666666666666, 0.6054421768707483, 0.5089605734767025, 0.4502923976608187, 0.5051546391752577]",0.24800126100925612,0.6865214836991074,False,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",2.0
imagenet_r,m5_hybrid_replay,1,tuned,0.6208193372258458,0.419672131147541,0.06014002731433806,0.6583752230586377,"[0.7370242214532872, 0.6831955922865014, 0.6377358490566037, 0.5675675675675675, 0.5254237288135594, 0.5572755417956656, 0.4983277591973244, 0.5265151515151515, 0.5141955835962145, 0.419672131147541]",0.24800126100925612,0.6865214836991074,False,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",2.0
imagenet_r,m5_hybrid_replay,2,tuned,0.6375530970175356,0.45714285714285713,0.0707916401631586,0.6629108988173605,"[0.7439446366782007, 0.6782006920415224, 0.6345514950166113, 0.593103448275862, 0.4652777777777778, 0.6206896551724138, 0.598159509202454, 0.5277777777777778, 0.4195583596214511, 0.45714285714285713]",0.24800126100925612,0.6865214836991074,False,"{""buffer_size_per_class"": 10, ""local_epochs"": 30, ""lr"": 0.1, ""replay_weight"": 2.0}",2.0
